case_id,activity,timestamp,team,status,priority
C0001,Claim Received,2026-03-12 11:00:00.000000,Customer Service,Completed,Low
C0001,Initial Review,2026-03-12 13:32:21.351944,Customer Service,Completed,Low
C0001,Technical Assessment,2026-03-13 05:42:28.136943,Technical,Completed,Low
C0001,Quality Review,2026-03-13 22:36:41.955110,Quality,Completed,Low
C0001,Decision,2026-03-14 01:13:34.299038,Quality,Completed,Low
C0001,Customer Notification,2026-03-14 10:17:02.512639,Customer Service,Completed,Low
C0001,Case Closed,2026-03-14 12:40:37.405894,Customer Service,Completed,Low
C0002,Claim Received,2026-05-31 12:00:00.000000,Customer Service,Completed,Medium
C0002,Initial Review,2026-06-01 03:08:29.244661,Customer Service,Completed,Medium
C0002,Technical Assessment,2026-06-01 18:25:22.534953,Technical,Completed,Medium
C0002,Quality Review,2026-06-02 14:35:20.179580,Quality,Completed,Medium
C0002,Decision,2026-06-02 22:19:55.981940,Quality,Completed,Medium
C0002,Customer Notification,2026-06-02 23:36:37.637049,Customer Service,Completed,Medium
C0002,Case Closed,2026-06-03 04:50:52.535643,Customer Service,Completed,Medium
C0003,Claim Received,2026-05-18 09:00:00.000000,Customer Service,Completed,High
C0003,Initial Review,2026-05-18 13:41:32.867001,Customer Service,Completed,High
C0003,Request Additional Information,2026-05-19 15:11:28.439651,Customer Service,Completed,High
C0003,Initial Review,2026-05-19 18:27:55.124085,Customer Service,Completed,High
C0003,Technical Assessment,2026-05-20 04:07:53.962582,Technical,Completed,High
C0003,Quality Review,2026-05-20 14:36:41.343980,Quality,Completed,High
C0003,Decision,2026-05-20 17:36:01.967991,Quality,Completed,High
C0003,Customer Notification,2026-05-20 18:57:33.281249,Customer Service,Completed,High
C0003,Case Closed,2026-05-20 20:52:16.101134,Customer Service,Completed,High
C0004,Claim Received,2026-02-23 18:00:00.000000,Customer Service,Completed,Medium
C0004,Initial Review,2026-02-23 20:20:05.600797,Customer Service,Completed,Medium
C0004,Technical Assessment,2026-02-24 09:24:26.584213,Technical,Completed,Medium
C0004,Quality Review,2026-02-25 01:30:52.963417,Quality,Completed,Medium
C0004,Decision,2026-02-25 04:29:42.457282,Quality,Completed,Medium
C0004,Customer Notification,2026-02-25 08:27:49.309469,Customer Service,Completed,Medium
C0004,Case Closed,2026-02-25 12:14:54.404857,Customer Service,Completed,Medium
C0005,Claim Received,2026-02-28 08:00:00.000000,Customer Service,Completed,High
C0005,Initial Review,2026-02-28 12:01:12.659531,Customer Service,Completed,High
C0005,Technical Assessment,2026-02-28 15:57:41.384093,Technical,Completed,High
C0005,Quality Review,2026-03-01 12:27:04.869251,Quality,Completed,High
C0005,Technical Assessment,2026-03-01 18:01:57.971507,Technical,Completed,High
C0005,Quality Review,2026-03-02 20:37:07.271104,Quality,Completed,High
C0005,Decision,2026-03-02 22:54:16.092187,Quality,Completed,High
C0005,Customer Notification,2026-03-03 01:29:32.796992,Customer Service,Completed,High
C0005,Case Closed,2026-03-03 05:16:49.795880,Customer Service,Completed,High
C0006,Claim Received,2026-02-05 16:00:00.000000,Customer Service,Completed,Medium
C0006,Initial Review,2026-02-05 19:28:03.285028,Customer Service,Completed,Medium
C0006,Technical Assessment,2026-02-06 11:31:22.871675,Technical,Completed,Medium
C0006,Quality Review,2026-02-07 03:21:45.316624,Quality,Completed,Medium
C0006,Decision,2026-02-07 08:56:27.751688,Quality,Completed,Medium
